namespace,dataset_id,name,release,licence,licence_group,attribution,url
usda,usda_fdc,"USDA FoodData Central, Foundation Foods",2026-04-30,CC0 1.0 Universal,A,"U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 2019. fdc.nal.usda.gov.",https://fdc.nal.usda.gov/
ciqual,ciqual_2025,ANSES-CIQUAL French food composition table 2025,2025,CC BY 4.0 and Etalab Open Licence 2.0,B,"ANSES. Table de composition nutritionnelle des aliments Ciqual 2025. Licensed under CC BY 4.0.",https://doi.org/10.5281/zenodo.17550133
cofid,cofid_2021,McCance and Widdowson's Composition of Foods Integrated Dataset 2021,2021,Open Government Licence v3.0,B,"Contains public sector information licensed under the Open Government Licence v3.0. Source: McCance and Widdowson's The Composition of Foods Integrated Dataset 2021, Public Health England.",https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid
afcd,afcd_release3,"Australian Food Composition Database, Release 3",Release 3,CC BY 4.0,B,"Food Standards Australia New Zealand. Australian Food Composition Database, Release 3. Licensed under CC BY 4.0. FSANZ does not endorse Almanac or its use of the work.",https://www.foodstandards.gov.au/science-data/food-nutrient-databases/afcd
almanac,almanac_native,Almanac native foods,,Almanac proprietary,N,Almanac.,https://almanac.invalid/
