source,code,qualifier,meaning
usda,LCGE,borrowed,Given by information provider as an exact value per 100 unit measure
usda,LCGA,borrowed,Given by information provider as an approximate value per 100 unit measure
usda,LCGL,below_loq,Given by information provider as a less than value per 100 unit measure
usda,LCGG,borrowed,Given by information provider as a greater than value per 100 unit measure
afcd,Analysed,measured,Food-level derivation: data generated by laboratory analysis. Individual nutrients may differ; see Sampling Details.
afcd,Recipe,calculated_recipe,Food-level derivation: calculated from ingredient proportions.
afcd,Borrowed,borrowed,Food-level derivation: from international food composition databases.
afcd,Imputed,borrowed,Food-level derivation: based on a similar food with minor changes.
afcd,Label Data,borrowed,Food-level derivation: from product nutrition information panels and ingredient lists.
afcd,Estimated,borrowed,Food-level derivation used in the data but not defined in the Release 3 contents sheet; treated as not directly observed.
